id,first_name,last_name,full_name,sex,dob,nationality,club,competition_name,date_meet,event,category,heat_number,results,wind_factor,format
19,Preston,York,Preston York,Men,2012-07-07,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U15,3,12.1,0.2,Timed final
20,Rowan,Beck,Rowan Beck,Men,2011-06-30,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,3,12.4,0.2,Timed final
21,Sawyer,Dean,Sawyer Dean,Men,2014-02-15,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,3,12.55,0.2,Timed final
22,Tanner,Ford,Tanner Ford,Men,2012-09-18,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,3,12.7,0.2,Timed final
23,Russell,Ryan,Russell Ryan,Men,2012-04-05,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,3,12.46,0.2,Timed final
24,Weston,Hart,Weston Hart,Men,2013-04-05,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,3,12.85,0.2,Timed final
25,Zane,Kelly,Zane Kelly,Men,2011-11-22,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,4,11.85,0.3,Timed final
26,Brody,Lynch,Brody Lynch,Men,2012-01-09,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,4,12,0.3,Timed final
27,Chase,Morrow,Chase Morrow,Men,2013-08-14,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,4,12.15,0.3,Timed final
28,Drew,Nolan,Drew Nolan,Men,2011-03-27,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,4,12.3,0.3,Timed final
29,Eli,Parker,Eli Parker,Men,2014-07-03,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,4,12.45,0.3,Timed final
30,Gage,Quinn,Gage Quinn,Men,2012-10-11,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U15,4,12.6,0.3,Timed final
31,Jace,Riley,Jace Riley,Men,2013-05-29,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,4,12.75,0.3,Timed final
32,Kai,Sutton,Kai Sutton,Men,2011-12-16,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,4,12.9,0.3,Timed final
33,Levi,Tucker,Levi Tucker,Men,2011-09-08,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,5,11.9,0.1,Timed final
34,Max,Vaughn,Max Vaughn,Men,2012-02-24,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U15,5,12.05,0.1,Timed final
35,Nash,Warren,Nash Warren,Men,2013-11-01,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,5,12.2,0.1,Timed final
36,Owen,Xander,Owen Xander,Men,2011-07-13,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,5,12.35,0.1,Timed final
37,Reid,John,Reid John,Men,2014-04-19,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U15,5,12.5,0.1,Timed final
38,Silas,Zane,Silas Zane,Men,2012-12-06,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,5,12.65,0.1,Timed final
39,Theo,Blake,Theo Blake,Men,2013-06-22,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,5,12.8,0.1,Timed final
40,Wyatt,Cruz,Wyatt Cruz,Men,2011-01-31,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,5,13.1,0.1,Timed final
41,Adrian,Holt,Adrian Holt,Men,2008-05-12,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,1,11.1,0.6,Timed final
42,Bennett,Chase,Bennett Chase,Men,2009-08-23,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U18,1,11.25,0.6,Timed final
43,Camden,Drew,Camden Drew,Men,2008-11-15,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,1,11.4,0.6,Timed final
44,Dax,Ellis,Dax Ellis,Men,2008-09-30,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,1,11.55,0.6,Timed final
45,Emerson,Grant,Emerson Grant,Men,2009-03-02,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,1,11.7,0.6,Timed final
46,Fletcher,Hayes,Fletcher Hayes,Men,2008-06-19,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,1,11.85,0.6,Timed final
47,Garrett,Jace,Garrett Jace,Men,2008-12-10,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,1,12,0.6,Timed final
48,Holden,Kane,Holden Kane,Men,2009-07-25,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,1,12.15,0.6,Timed final
49,Ivan,Locke,Ivan Locke,Men,2008-01-08,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U18,2,11.15,0.4,Timed final
50,Jasper,Milo,Jasper Milo,Men,2009-04-14,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U18,2,11.3,0.4,Timed final
51,Keegan,Nash,Keegan Nash,Men,2008-10-17,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,2,11.45,0.4,Timed final
52,Lennox,Owen,Lennox Owen,Men,2008-06-05,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,2,11.6,0.4,Timed final
53,Maddox,Reid,Maddox Reid,Men,2009-02-28,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,2,11.75,0.4,Timed final
54,Nico,Sage,Nico Sage,Men,2008-08-21,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U18,2,11.9,0.4,Timed final
55,Orion,Tate,Orion Tate,Men,2008-11-11,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,2,12.05,0.4,Timed final
56,Phoenix,Ward,Phoenix Ward,Men,2009-05-09,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,2,12.2,0.4,Timed final
57,Roman,Blair,Roman Blair,Men,2008-12-14,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,3,11.2,0.2,Timed final
58,Soren,Cole,Soren Cole,Men,2008-03-03,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U18,3,11.35,0.2,Timed final
59,Titus,Dean,Titus Dean,Men,2009-07-07,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,3,11.5,0.2,Timed final
60,Victor,Flynn,Victor Flynn,Men,2008-09-22,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,3,11.65,0.2,Timed final
61,Wesley,Grey,Wesley Grey,Men,2008-06-30,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,3,11.8,0.2,Timed final
62,Xavier,Holt,Xavier Holt,Men,2009-01-15,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,3,11.95,0.2,Timed final
63,Zander,Kane,Zander Kane,Men,2008-10-18,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,3,12.1,0.2,Timed final
64,Archer,Levi,Archer Levi,Men,2008-04-05,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,3,12.25,0.2,Timed final
65,Beckett,Milo,Beckett Milo,Men,2009-02-22,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U18,4,11.25,0.3,Timed final
66,Corbin,Nash,Corbin Nash,Men,2008-07-09,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,4,11.4,0.3,Timed final
67,Damon,Pierce,Damon Pierce,Men,2008-08-14,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,4,11.55,0.3,Timed final
68,Ezra,Quinn,Ezra Quinn,Men,2009-03-27,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U18,4,11.7,0.3,Timed final
69,Finnley,Ross,Finnley Ross,Men,2008-11-03,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,4,11.85,0.3,Timed final
70,Gideon,Shaw,Gideon Shaw,Men,2008-05-11,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U18,4,12,0.3,Timed final
71,Harley,Tate,Harley Tate,Men,2009-06-29,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,4,12.15,0.3,Timed final
72,Isaiah,Vance,Isaiah Vance,Men,2008-12-16,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U18,4,12.3,0.3,Timed final
73,Jonah,Wade,Jonah Wade,Men,2008-09-08,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,5,11.3,0.1,Timed final
74,Kade,Xander,Kade Xander,Men,2009-04-24,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,5,11.45,0.1,Timed final
75,Lincoln,York,Lincoln York,Men,2008-07-01,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U18,5,11.6,0.1,Timed final
76,Miles,Zane,Miles Zane,Men,2008-10-13,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,5,11.75,0.1,Timed final
77,Nolan,Adler,Nolan Adler,Men,2009-02-19,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U18,5,11.9,0.1,Timed final
78,Preston,Beck,Preston Beck,Men,2008-08-06,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,5,12.05,0.1,Timed final
79,Ryder,Dean,Ryder Dean,Men,2008-12-22,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U18,5,12.2,0.1,Timed final
80,Tucker,Ford,Tucker Ford,Men,2009-01-31,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U18,5,12.8,0.1,Timed final
81,Ace,Burton,Ace Burton,Men,2006-05-12,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,1,10.7,0.6,Timed final
82,Blaze,Carter,Blaze Carter,Men,2006-08-23,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U20,1,10.85,0.6,Timed final
83,Cade,Donovan,Cade Donovan,Men,2006-11-15,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,1,11,0.6,Timed final
84,Colt,Emerson,Colt Emerson,Men,2006-09-30,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,1,11.15,0.6,Timed final
85,Dash,Felix,Dash Felix,Men,2006-03-02,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,1,11.3,0.6,Timed final
86,Eli,Grayson,Eli Grayson,Men,2006-06-19,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,1,11.45,0.6,Timed final
87,Finn,Hudson,Finn Hudson,Men,2006-12-10,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,1,11.6,0.6,Timed final
88,Gabe,Irwin,Gabe Irwin,Men,2006-07-25,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,1,11.75,0.6,Timed final
89,Hawk,Jasper,Hawk Jasper,Men,2006-01-08,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,2,10.75,0.4,Timed final
90,Ian,Keller,Ian Keller,Men,2006-04-14,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U20,2,10.9,0.4,Timed final
91,Jett,Lawson,Jett Lawson,Men,2006-10-17,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,2,11.05,0.4,Timed final
92,Kane,Maddox,Kane Maddox,Men,2006-06-05,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U20,2,11.2,0.4,Timed final
93,Lane,Nixon,Lane Nixon,Men,2006-02-28,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,2,11.35,0.4,Timed final
94,Milo,Orion,Milo Orion,Men,2006-08-21,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U20,2,11.5,0.4,Timed final
95,Nash,Porter,Nash Porter,Men,2006-11-11,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,2,11.65,0.4,Timed final
96,Otto,Quinn,Otto Quinn,Men,2006-05-09,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U20,2,11.8,0.4,Timed final
97,Pax,River,Pax River,Men,2006-12-14,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U20,3,10.8,0.2,Timed final
98,Quill,Sage,Quill Sage,Men,1999-12-14,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U20,3,10.95,0.2,Timed final
99,Rex,Tanner,Rex Tanner,Men,2006-07-07,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U20,3,11.1,0.2,Timed final
100,Slate,Tyson,Slate Tyson,Men,2006-09-22,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,3,11.25,0.2,Timed final
101,Tate,Usher,Tate Usher,Men,2006-06-30,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,3,11.4,0.2,Timed final
102,Vance,Wilder,Vance Wilder,Men,2006-01-15,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U20,3,11.55,0.2,Timed final
103,Wade,Xavier,Wade Xavier,Men,2006-10-18,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,3,11.7,0.2,Timed final
104,Zeke,Yarrow,Zeke Yarrow,Men,2006-04-05,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,U20,3,11.85,0.2,Timed final
105,Axel,Zane,Axel Zane,Men,2006-02-22,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,4,10.85,0.3,Timed final
106,Daniel,Adler,Daniel Adler,Men,2006-07-09,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U20,4,11,0.3,Timed final
107,Cruz,Beckett,Cruz Beckett,Men,2006-08-14,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,4,11.15,0.3,Timed final
108,Drake,Corbin,Drake Corbin,Men,2006-03-27,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,4,11.3,0.3,Timed final
109,Evan,Dash,Evan Dash,Men,2006-11-03,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U20,4,11.45,0.3,Timed final
110,Grant,Ezra,Grant Ezra,Men,2006-05-11,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,4,11.6,0.3,Timed final
111,Hayes,Finn,Hayes Finn,Men,2006-06-29,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U20,4,11.75,0.3,Timed final
112,Jace,Gideon,Jace Gideon,Men,2006-12-16,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,4,11.9,0.3,Timed final
113,Knox,Harley,Knox Harley,Men,2006-09-08,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U20,5,10.9,0.1,Timed final
114,Levi,Isaiah,Levi Isaiah,Men,2006-04-24,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,5,11.05,0.1,Timed final
115,Mason,Jonah,Mason Jonah,Men,2006-07-01,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U20,5,11.2,0.1,Timed final
116,Nolan,Kade,Nolan Kade,Men,2006-10-13,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U20,5,11.35,0.1,Timed final
117,Reid,Lincoln,Reid Lincoln,Men,2006-02-19,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,5,11.5,0.1,Timed final
118,Silas,Miles,Silas Miles,Men,2006-08-06,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U20,5,11.65,0.1,Timed final
119,Theo,Preston,Theo Preston,Men,2006-12-22,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U20,5,11.8,0.1,Timed final
120,Wyatt,Ryder,Wyatt Ryder,Men,2006-01-31,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U20,5,12.2,0.1,Timed final
121,Bryce,Adler,Bryce Adler,Men,1998-05-12,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,Open,1,10.35,0.6,Timed final
122,Cole,Baxter,Cole Baxter,Men,2000-08-23,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,1,10.5,0.6,Timed final
123,Dane,Carver,Dane Carver,Men,1995-11-15,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,1,10.65,0.6,Timed final
124,Evan,Drake,Evan Drake,Men,2002-09-30,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,1,10.8,0.6,Timed final
125,Finn,Easton,Finn Easton,Men,1997-03-02,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,Open,1,10.95,0.6,Timed final
126,Gage,Foster,Gage Foster,Men,2001-06-19,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,1,11.1,0.6,Timed final
127,Holt,Grayson,Holt Grayson,Men,1999-12-10,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,Open,1,11.25,0.6,Timed final
128,Jace,Hunter,Jace Hunter,Men,2003-07-25,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,Open,1,11.4,0.6,Timed final
129,Kane,Irwin,Kane Irwin,Men,1996-01-08,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,2,10.4,0.4,Timed final
130,Levi,Jaxon,Levi Jaxon,Men,2004-04-14,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,Open,2,10.55,0.4,Timed final
131,Milo,Kane,Milo Kane,Men,1998-10-17,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,2,10.7,0.4,Timed final
132,Nash,Lawson,Nash Lawson,Men,2000-06-05,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,Open,2,10.85,0.4,Timed final
133,Owen,Maddox,Owen Maddox,Men,2002-02-28,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,2,11,0.4,Timed final
134,Reid,Nolan,Reid Nolan,Men,1997-08-21,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,2,11.15,0.4,Timed final
135,Sage,Orion,Sage Orion,Men,2001-11-11,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,2,11.3,0.4,Timed final
136,Tate,Preston,Tate Preston,Men,2003-05-09,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,2,11.45,0.4,Timed final
137,Vance,Quill,Vance Quill,Men,1999-12-14,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,Open,3,10.45,0.2,Timed final
138,Wade,River,Wade River,Men,2001-03-03,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,3,10.6,0.2,Timed final
139,Zane,Slate,Zane Slate,Men,1996-07-07,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,3,10.75,0.2,Timed final
140,Axel,Tanner,Axel Tanner,Men,2004-09-22,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,3,10.9,0.2,Timed final
141,Brock,Tyson,Brock Tyson,Men,1998-06-30,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,3,11.05,0.2,Timed final
142,Clay,Usher,Clay Usher,Men,2000-01-15,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,3,11.2,0.2,Timed final
143,Drew,Vance,Drew Vance,Men,2002-10-18,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,Open,3,11.35,0.2,Timed final
144,Eli,Wilder,Eli Wilder,Men,1997-04-05,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,3,11.5,0.2,Timed final
145,Ford,Xavier,Ford Xavier,Men,2003-02-22,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,4,10.5,0.3,Timed final
146,Grey,Yarrow,Grey Yarrow,Men,1999-07-09,Aelthoria,Sylvara Athletics Club,Local_1,2025-01-18,100m,Open,4,10.65,0.3,Timed final
147,Horrace,Tay,Horrace Tay,Men,2001-08-14,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,4,10.8,0.3,Timed final
148,Ian,Archer,Ian Archer,Men,1995-03-27,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,4,10.95,0.3,Timed final
149,Jett,Beckett,Jett Beckett,Men,2004-11-03,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,4,11.1,0.3,Timed final
150,Knox,Corbin,Knox Corbin,Men,1998-05-11,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,4,11.25,0.3,Timed final
151,Lane,Damon,Lane Damon,Men,2000-06-29,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,4,11.4,0.3,Timed final
152,Max,Ezra,Max Ezra,Men,2002-12-16,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,4,11.55,0.3,Timed final
153,Nico,Finn,Nico Finn,Men,1997-09-08,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,5,10.55,0.1,Timed final
154,Pax,Gideon,Pax Gideon,Men,2003-04-24,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,Open,5,10.7,0.1,Timed final
155,Rhett,Harley,Rhett Harley,Men,1999-07-01,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,5,10.85,0.1,Timed final
156,Seth,Isaiah,Seth Isaiah,Men,2001-10-13,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,Open,5,11,0.1,Timed final
157,Trey,Jonah,Trey Jonah,Men,2004-02-19,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,5,11.15,0.1,Timed final
158,Wes,Kade,Wes Kade,Men,1996-08-06,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,Open,5,11.3,0.1,Timed final
159,Xavier,Lincoln,Xavier Lincoln,Men,2000-12-22,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,Open,5,11.45,0.1,Timed final
160,Zach,Miles,Zach Miles,Men,2002-01-31,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,Open,5,11.9,0.1,Timed final
161,Avery,Blair,Avery Blair,Women,2011-05-12,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,1,13.5,0.6,Timed final
162,Bryn,Carter,Bryn Carter,Women,2012-08-23,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,1,13.75,0.6,Timed final
163,Cora,Dixon,Cora Dixon,Women,2013-01-15,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,1,14,0.6,Timed final
164,Daisy,Ellis,Daisy Ellis,Women,2011-11-30,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,1,14.25,0.6,Timed final
165,Eden,Faye,Eden Faye,Women,2014-03-02,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,1,14.5,0.6,Timed final
166,Fiona,Greer,Fiona Greer,Women,2012-06-19,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,1,14.75,0.6,Timed final
167,Gwen,Hale,Gwen Hale,Women,2011-09-10,Aelthoria,Lumora Athletics Club,Local_1,2025-01-18,100m,U15,1,15,0.6,Timed final
168,Hazel,Ivy,Hazel Ivy,Women,2013-07-25,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,1,15.25,0.6,Timed final
169,Isla,Jade,Isla Jade,Women,2013-01-08,Aelthoria,Eldrin Athletics Club,Local_1,2025-01-18,100m,U15,2,13.6,0.4,Timed final
170,Juniper,Kane,Juniper Kane,Women,2011-12-14,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,2,13.85,0.4,Timed final
171,Kira,Lane,Kira Lane,Women,2012-04-17,Aelthoria,Thalindra Athletics Club,Local_1,2025-01-18,100m,U15,2,14.1,0.4,Timed final
172,Lila,Moss,Lila Moss,Women,2013-10-05,Aelthoria,Vyrnwood Athletics Club,Local_1,2025-01-18,100m,U15,2,14.35,0.4,Timed final
